label;frequency
EndingARelationship;1
ExtendingContractualAgreement;1
QuantityChange;1
Decreasing;2
BeginningARelationship;2
Mutiny;2
SocialStatusChange;2
BeginningContractualAgreement;2
BeingDestroyed;2
HavingAMedicalCondition;2
Besieging;2
Invasion;2
EndingConflict;2
IntentionalDamaging;3
FinancialTransaction;3
BeingAtPeace;3
None;3
Mismanagement;3
StartingConflict;4
InternalChange;4
Repairing;4
Sinking;4
BeingInDebt;5
Increasing;5
BeingDamaged;5
EndingContractualAgreement;5
LeavingAnOrganization;5
HavingContractualAgreement;6
HavingInternalState-;6
StartingAWar;6
Dying;6
Occupation;7
Buying;7
Selling;7
FallingIll;7
Replacing;8
AlteringARelationship;8
ChangeOfPossession;8
LosingPossession;9
HavingInternalState+;9
BeingDead;10
Killing;10
BeingInARelationship;11
ViolentContest;11
Attacking;13
Collaboration;14
Encounter;15
Visit;16
BeingInConflict;16
ForceToAct;16
SocialInteraction;17
Destroying;19
Damaging;19
Voyage;20
BeingLeader;23
BeingEmployed;24
Trade;42
Request;48
Giving;53
TakingUnderControl;55
Communication;62
Enslaving;77
Getting;91
Leaving;111
BeingAtAPlace;112
Arriving;127
HavingInPossession;127
Translocation;137
Transportation;139